N,mcsd,mcsd_emp_dQ,pool_ceiling,chosen_n,param_sd_dQ
14287,.0046333927071291,,296191,50000,.06
14573,.0045877014789822,,296191,50000,.06
14866,.0045422660576283,,296191,50000,.06
15164,.0044974127342649,,296191,50000,.06
15468,.004452998526521,,296191,50000,.06
15778,.004409036125748,,296191,50000,.06
16094,.0043655366100465,,296191,50000,.06
16416,.0043225095494796,,296191,50000,.06
16745,.0042798353070544,,296191,50000,.06
17081,.0042375319605392,,296191,50000,.06
17423,.0041957361032362,,296191,50000,.06
17773,.0041542178039732,,296191,50000,.06
18129,.0041132272908417,,296191,50000,.06
18492,.0040726556447984,,296191,50000,.06
18863,.0040324059858474,,296191,50000,.06
19241,.0039926001001758,,296191,50000,.06
19627,.0039531443399066,,296191,50000,.06
20000,,.0051694782873232,296191,50000,.06
20020,.0039141511866448,,296191,50000,.06
20421,.0038755302445582,,296191,50000,.06
20831,.0038372012181335,,296191,50000,.06
21248,.0037993613836281,,296191,50000,.06
21674,.0037618380820651,,296191,50000,.06
22109,.0037246466921741,,296191,50000,.06
22552,.0036878827224173,,296191,50000,.06
23004,.0036514718226241,,296191,50000,.06
23465,.0036154249757555,,296191,50000,.06
23935,.003579751808927,,296191,50000,.06
24415,.0035443880921418,,296191,50000,.06
24904,.0035094178385069,,296191,50000,.06
25404,.0034747101356837,,296191,50000,.06
25913,.0034404146285425,,296191,50000,.06
26432,.0034064704058715,,296191,50000,.06
26962,.0033728232344795,,296191,50000,.06
27502,.0033395464944533,,296191,50000,.06
28054,.0033065282443591,,296191,50000,.06
28616,.0032738981880044,,296191,50000,.06
29190,.0032415489607971,,296191,50000,.06
29775,.0032095470610056,,296191,50000,.06
30371,.0031778989772077,,296191,50000,.06
30980,.0031465086240555,,296191,50000,.06
31601,.0031154387700701,,296191,50000,.06
32235,.0030846493034916,,296191,50000,.06
32881,.0030541975508499,,296191,50000,.06
33540,.0030240439868234,,296191,50000,.06
34212,.0029941972106745,,296191,50000,.06
34898,.0029646222515724,,296191,50000,.06
35597,.0029353705574962,,296191,50000,.06
36311,.0029063674995284,,296191,50000,.06
37039,.0028776634895641,,296191,50000,.06
37781,.0028492654292587,,296191,50000,.06
38538,.0028211426518288,,296191,50000,.06
39311,.0027932678793879,,296191,50000,.06
40099,.0027656859410225,,296191,50000,.06
40903,.0027383695192757,,296191,50000,.06
41722,.0027113593071859,,296191,50000,.06
42559,.0026845650117999,,296191,50000,.06
43412,.0026580597305382,,296191,50000,.06
44282,.0026318190085414,,296191,50000,.06
45170,.002605821048946,,296191,50000,.06
46075,.0025801025095767,,296191,50000,.06
46998,.0025546413922205,,296191,50000,.06
47941,.0025293916979015,,296191,50000,.06
48901,.0025044407577949,,296191,50000,.06
49882,.0024796917899228,,296191,50000,.06
50000,,.0056009073920054,296191,50000,.06
50881,.0024552279195379,,296191,50000,.06
51901,.0024309821518526,,296191,50000,.06
52942,.0024069632602271,,296191,50000,.06
54003,.0023832010953451,,296191,50000,.06
55085,.0023596791559347,,296191,50000,.06
56189,.0023363826990918,,296191,50000,.06
57316,.0023132986059229,,296191,50000,.06
58465,.0022904544325028,,296191,50000,.06
59636,.0022678555038994,,296191,50000,.06
60832,.0022454510163385,,296191,50000,.06
62051,.0022232855261303,,296191,50000,.06
63295,.0022013288786802,,296191,50000,.06
64564,.0021795880528472,,296191,50000,.06
65858,.0021580691886603,,296191,50000,.06
67178,.0021367617366964,,296191,50000,.06
68524,.0021156717151313,,296191,50000,.06
69898,.002094774403019,,296191,50000,.06
71299,.0020740915099489,,296191,50000,.06
72728,.002053613973423,,296191,50000,.06
74186,.0020333336855924,,296191,50000,.06
75673,.0020132567197307,,296191,50000,.06
77190,.0019933754838905,,296191,50000,.06
78737,.0019736957292761,,296191,50000,.06
80315,.0019542103148484,,296191,50000,.06
81925,.0019349128467416,,296191,50000,.06
83567,.0019158090803193,,296191,50000,.06
85242,.0018968929293311,,296191,50000,.06
86951,.00187815894324,,296191,50000,.06
88693,.0018596232214003,,296191,50000,.06
90471,.001841259233596,,296191,50000,.06
92285,.0018230730659189,,296191,50000,.06
94134,.001805079676249,,296191,50000,.06
96021,.0017872550005156,,296191,50000,.06
97946,.0017696047722158,,296191,50000,.06
99909,.0017521340400628,,296191,50000,.06
101912,.0017348301882693,,296191,50000,.06
103954,.0017177067829604,,296191,50000,.06
106038,.0017007436933847,,296191,50000,.06
108164,.0016839463984029,,296191,50000,.06
110332,.0016673197237923,,296191,50000,.06
112543,.001650860549154,,296191,50000,.06
114799,.0016345589225168,,296191,50000,.06
117100,.0016184198095687,,296191,50000,.06
119447,.001602440858154,,296191,50000,.06
121841,.0015866199316469,,296191,50000,.06
124284,.001570948767926,,296191,50000,.06
126775,.0015554384253826,,296191,50000,.06
129316,.001540080783147,,296191,50000,.06
131908,.0015248743715731,,296191,50000,.06
134552,.0015098178457607,,296191,50000,.06
137249,.0014949099712384,,296191,50000,.06
140000,.0014801496107501,,296191,50000,.06
